Time - Dev2/ai0,Voltage - Dev2/ai0
0.307,-0.000593248
0.308,-0.000593248
0.309,-0.000754265
0.31,-0.000593248
0.311,-0.000754265
0.312,-0.000593248
0.313,-0.000754265
0.314,-0.000432231
0.315,-0.000754265
0.316,-0.0010763
0.317,-0.000754265
0.318,-0.000593248
0.319,-0.000754265
0.32,-0.000593248
0.321,-0.000754265
0.322,-0.000432231
0.323,-0.000271214
0.324,-0.000915282
0.325,-0.000754265
0.326,-0.000432231
0.327,-0.000754265
0.328,-0.000271214
0.329,-0.000593248
0.33,-0.000593248
0.331,-0.000754265
0.332,-0.000593248
0.333,-0.000271214
0.334,-0.000754265
0.335,-0.000754265
0.336,-0.000754265
0.337,-0.000754265
0.338,-0.000593248
0.339,-0.000754265
0.34,-0.000593248
0.341,-0.000593248
0.342,-0.000754265
0.343,-0.000432231
0.344,-0.000754265
0.345,-0.000432231
0.346,-0.000754265
0.347,-0.000593248
0.348,-0.000754265
0.349,-0.000593248
0.35,-0.000754265
0.351,-0.000593248
0.352,-0.000754265
0.353,-0.000754265
0.354,-0.000593248
0.355,-0.000754265
0.356,-0.000754265
0.357,-0.000915282
0.358,-0.000915282
0.359,-0.000593248
0.36,-0.000593248
0.361,-0.000593248
0.362,-0.000754265
0.363,-0.000754265
0.364,-0.000593248
0.365,-0.000593248
0.366,-0.000593248
0.367,-0.000593248
0.368,-0.000432231
0.369,-0.000593248
0.37,-0.000110198
0.371,0.820272
0.372,1.57818
0.373,1.91149
0.374,1.98991
0.375,1.85063
0.376,1.82905
0.377,1.86544
0.378,1.88267
0.379,1.90457
0.38,1.90746
0.381,1.90698
0.382,1.90843
0.383,1.92743
0.384,1.9482
0.385,1.9788
0.386,2.02436
0.387,2.06575
0.388,2.16107
0.389,2.22177
0.39,2.3303
0.391,2.38634
0.392,2.42884
0.393,2.46266
0.394,2.49535
0.395,2.51966
0.396,2.5451
0.397,2.59099
0.398,2.61563
0.399,2.63543
0.4,2.6467
0.401,2.65556
0.402,2.66619
0.403,2.67359
0.404,2.68052
0.405,2.68648
0.406,2.6934
0.407,2.69662
0.408,2.69823
0.409,2.69984
0.41,2.70274
0.411,2.70322
0.412,2.70435
0.413,2.70419
0.414,2.70451
0.415,2.70274
0.416,2.7
0.417,2.6992
0.418,2.69437
0.419,2.69034
0.42,2.68648
0.421,2.68148
0.422,2.67585
0.423,2.66876
0.424,2.6591
0.425,2.64703
0.426,2.63897
0.427,2.62625
0.428,2.61933
0.429,2.60484
0.43,2.59534
0.431,2.5889
0.432,2.57006
0.433,2.54558
0.434,2.5232
0.435,2.50291
0.436,2.47924
0.437,2.44784
0.438,2.42546
0.439,2.39873
0.44,2.36589
0.441,2.34898
0.442,2.31291
0.443,2.28167
0.444,2.23594
0.445,2.20052
0.446,2.17814
0.447,2.09022
0.448,2.04256
0.449,1.99683
0.45,1.9416
0.451,1.91938
0.452,1.88235
0.453,1.83082
0.454,1.79137
0.455,1.66304
0.456,1.58237
0.457,1.46917
0.458,1.36838
0.459,1.28094
0.46,1.18369
0.461,1.05648
0.462,0.959552
0.463,0.800789
0.464,0.66006
0.465,0.521907
0.466,0.250915
0.467,0.250754
0.468,0.00359319
0.469,-0.000432231
0.47,-0.000754265
0.471,-0.000915282
0.472,-0.000754265
0.473,-0.000754265
0.474,-0.000754265
0.475,-0.000754265
0.476,-0.000754265
0.477,-0.0010763
0.478,-0.000754265
0.479,-0.000432231
0.48,-0.000593248
0.481,-0.000593248
0.482,-0.000432231
0.483,-0.000593248
0.484,-0.000754265
0.485,-0.000593248
0.486,-0.000593248
0.487,-0.000754265
0.488,-0.000593248
0.489,-0.000754265
0.49,-0.000593248
0.491,-0.000593248
0.492,-0.000754265
0.493,-0.000915282
0.494,-0.000271214
0.495,-0.000432231
0.496,-0.000915282
0.497,-0.000754265
0.498,-0.000754265
0.499,-0.000915282
0.5,-0.000593248
0.501,-0.000593248
0.502,-0.000432231
0.503,-0.000593248
0.504,-0.000593248
0.505,-0.000754265
0.506,-0.000432231
0.507,-0.000593248
0.508,-0.000593248
0.509,-0.000432231
0.51,-0.000593248
0.511,-0.000593248
0.512,-0.000754265
0.513,-0.000915282
0.514,-0.000593248
0.515,-0.000754265
0.516,-0.000754265
0.517,-0.000593248
0.518,-0.000915282
0.519,-0.000915282
0.52,-0.000754265
0.521,-0.000754265
0.522,-0.000432231
0.523,-0.000432231
0.524,-0.000593248
0.525,-0.000593248
0.526,-0.000593248
0.527,-0.000432231
0.528,-0.000110198
0.529,-0.000432231
0.53,-0.000432231
0.531,-0.000432231
0.532,-0.000593248
0.533,-0.000593248
0.534,-0.000432231
0.535,-0.000593248
0.536,-0.0010763
0.537,-0.000754265
0.538,-0.000593248
0.539,-0.000593248
0.54,-0.0010763
0.541,-0.000593248
0.542,-0.000432231
0.543,-0.000432231
0.544,-0.000432231
0.545,-0.000432231
0.546,-0.000432231
0.547,-0.000593248
0.548,-0.000593248
0.549,-0.000593248
0.55,-0.000593248
0.551,-0.000593248
0.552,-0.000432231
0.553,-0.000754265
0.554,-0.000593248
0.555,-0.000754265
0.556,-0.000754265
0.557,-0.000754265
0.558,-0.000915282
0.559,-0.000754265
0.56,-0.000754265
0.561,-0.000915282
0.562,-0.000754265
0.563,-0.000915282
0.564,-0.000593248
0.565,-0.000593248
0.566,-0.000754265
0.567,-0.000432231
0.568,-0.000593248
0.569,-0.000593248
0.57,-0.000754265
0.571,-0.000593248
0.572,-0.000593248
0.573,-0.000593248
0.574,-0.000593248
0.575,-0.000754265
0.576,-0.000593248
0.577,-0.000754265
0.578,-0.000915282
0.579,-0.000432231
0.58,-0.000915282
0.581,-0.000593248
0.582,-0.000432231
0.583,-0.000432231
0.584,-0.000432231
0.585,-0.000593248
0.586,-0.000593248
0.587,-0.000754265
0.588,-0.000754265
0.589,-0.000593248
0.59,-0.000593248
0.591,-0.000593248
0.592,-0.000593248
0.593,-0.000754265
0.594,-0.000432231
0.595,-0.000593248
0.596,-0.000754265
0.597,-0.000754265
0.598,-0.000754265
0.599,-0.000754265
0.6,-0.000915282
0.601,-0.000593248
0.602,-0.000593248
0.603,-0.000754265
0.604,-0.000593248
0.605,-0.000593248
0.606,-0.000593248
0.607,-0.000593248
0.608,-0.000593248
0.609,-0.000593248
0.61,-0.000593248
0.611,-0.000593248
0.612,-0.000593248
0.613,-0.000754265
0.614,-0.000915282
0.615,-0.000915282
0.616,-0.000593248
0.617,-0.000754265
0.618,-0.000593248
0.619,-0.000915282
0.62,-0.000593248
0.621,-0.000593248
0.622,-0.000593248
0.623,-0.000432231
0.624,-0.000271214
0.625,-0.000754265
0.626,-0.000271214
0.627,-0.000754265
0.628,-0.000593248
0.629,-0.000593248
0.63,-0.000754265
0.631,-0.000915282
0.632,-0.000754265
0.633,-0.000915282
0.634,-0.000593248
0.635,-0.000754265
0.636,-0.000754265
0.637,-0.000754265
0.638,-0.000754265
0.639,-0.000915282
0.64,-0.000432231
0.641,-0.000593248
0.642,-0.000593248
0.643,-0.000754265
0.644,-0.000593248
0.645,-0.000432231
0.646,-0.000593248
0.647,-0.000432231
0.648,-0.000432231
0.649,-0.000432231
0.65,-0.000593248
0.651,-0.000432231
0.652,-0.000915282
0.653,-0.000432231
0.654,-0.000593248
0.655,-0.000915282
0.656,-0.000754265
0.657,-0.000754265
0.658,-0.000754265
0.659,-0.000593248
0.66,-0.000754265
0.661,-0.000754265
0.662,-0.000754265
0.663,-0.000754265
0.664,-0.000593248
0.665,-0.000432231
0.666,-0.000593248
0.667,-0.000754265
0.668,-0.000432231
0.669,-0.000593248
0.67,-0.000754265
0.671,-0.000271214
0.672,-0.000754265
0.673,-0.000593248
0.674,-0.000593248
0.675,-0.000915282
0.676,-0.000915282
0.677,-0.000754265
0.678,-0.000754265
0.679,-0.000593248
0.68,-0.000754265
0.681,-0.000593248
0.682,-0.000593248
0.683,-0.000593248
0.684,-0.000593248
0.685,-0.000754265
0.686,-0.000754265
0.687,-0.000754265
0.688,-0.000432231
0.689,-0.000593248
0.69,-0.000432231
0.691,-0.000754265
0.692,-0.000754265
0.693,-0.000593248
0.694,-0.000593248
0.695,-0.000754265
0.696,-0.000754265
0.697,-0.000593248
0.698,-0.000754265
0.699,-0.000593248
0.7,-0.000593248
0.701,-0.000754265
0.702,-0.000432231
0.703,-0.000593248
0.704,-0.000593248
0.705,-0.000593248
0.706,-0.000754265
0.707,-0.000271214
0.708,-0.000432231
0.709,-0.000432231
0.71,-0.000432231
0.711,-0.000593248
0.712,-0.000754265
0.713,-0.000593248
0.714,-0.000754265
0.715,-0.000271214
0.716,-0.0010763
0.717,-0.000593248
0.718,-0.000754265
0.719,-0.000593248
0.72,-0.000432231
0.721,-0.000593248
0.722,-0.000432231
0.723,-0.000593248
0.724,-0.000754265
0.725,-0.000271214
0.726,-0.000754265
0.727,-0.000754265
0.728,-0.000593248
0.729,-0.000593248
0.73,-0.000593248
0.731,-0.000754265
0.732,-0.000432231
0.733,-0.000593248
0.734,-0.000754265
0.735,-0.0010763
0.736,-0.000432231
0.737,-0.000754265
0.738,-0.000915282
0.739,-0.000915282
0.74,-0.000754265
0.741,-0.000754265
0.742,-0.000432231
0.743,-0.000432231
0.744,-0.000754265
0.745,-0.000754265
0.746,-0.000432231
0.747,-0.000432231
0.748,-0.000593248
0.749,-0.000593248
0.75,-0.000593248
0.751,-0.000593248
0.752,-0.000754265
0.753,-0.000432231
0.754,-0.000593248
0.755,-0.0010763
0.756,-0.000915282
0.757,-0.000915282
0.758,-0.000754265
0.759,-0.000754265
0.76,-0.000593248
0.761,-0.000593248
0.762,-0.000593248
0.763,-0.000432231
0.764,-0.000432231
0.765,-0.000432231
0.766,-0.000432231
0.767,-0.000593248
0.768,-0.000754265
0.769,-0.000593248
0.77,-0.000754265
0.771,-0.000754265
0.772,-0.000915282
0.773,-0.000593248
0.774,-0.000754265
0.775,-0.000754265
0.776,-0.000754265
0.777,-0.000754265
0.778,-0.000754265
0.779,-0.000754265
0.78,-0.000915282
0.781,-0.000754265
0.782,-0.000593248
0.783,-0.000593248
0.784,-0.000593248
0.785,-0.000432231
0.786,-0.000593248
0.787,-0.000754265
0.788,-0.000593248
0.789,-0.000432231
0.79,-0.000593248
0.791,-0.000593248
0.792,-0.000432231
0.793,-0.000593248
0.794,-0.000593248
0.795,-0.000915282
0.796,-0.000754265
0.797,-0.000593248
0.798,-0.000754265
0.799,-0.000593248
0.8,-0.0010763
0.801,-0.000754265
0.802,-0.000754265
0.803,-0.000754265
0.804,-0.000593248
0.805,-0.000593248
0.806,-0.000754265
0.807,-0.000432231
0.808,-0.000754265
0.809,-0.000593248
0.81,-0.000432231
0.811,-0.000754265
0.812,-0.000754265
0.813,-0.000754265
0.814,-0.000754265
0.815,-0.000593248
0.816,-0.000593248
0.817,-0.000593248
0.818,-0.000915282
0.819,-0.000593248
0.82,-0.000593248
0.821,-0.000593248
0.822,-0.000593248
0.823,-0.000593248
0.824,-0.000754265
0.825,-0.000271214
0.826,-0.000754265
0.827,-0.000754265
0.828,-0.000593248
0.829,-0.000593248
0.83,-0.000593248
0.831,-0.000432231
0.832,-0.000593248
0.833,-0.000593248
0.834,-0.000593248
0.835,-0.000271214
0.836,-0.0010763
0.837,-0.000915282
0.838,-0.000593248
0.839,-0.000754265
0.84,-0.000593248
0.841,-0.000754265
0.842,-0.000593248
0.843,-0.000593248
0.844,-0.000432231
0.845,-0.000432231
0.846,-0.000593248
0.847,-0.000754265
0.848,-0.000271214
0.849,-0.000754265
0.85,-0.000593248
0.851,-0.000593248
0.852,-0.000754265
0.853,-0.000754265
0.854,-0.000432231
0.855,-0.000915282
0.856,-0.000754265
0.857,-0.000593248
0.858,-0.000754265
0.859,-0.000754265
0.86,-0.000754265
0.861,-0.000593248
0.862,-0.000754265
0.863,-0.000593248
0.864,-0.000593248
0.865,-0.000593248
0.866,-0.000271214
0.867,-0.000593248
0.868,-0.000432231
0.869,-0.000593248
0.87,-0.000593248
0.871,-0.000432231
0.872,-0.000593248
0.873,-0.000754265
0.874,-0.000754265
0.875,-0.000915282
0.876,-0.000754265
0.877,-0.000915282
0.878,-0.000754265
0.879,-0.000754265
0.88,-0.000915282
0.881,-0.000593248
0.882,-0.000432231
0.883,-0.000593248
0.884,-0.000432231
0.885,-0.000593248
0.886,-0.000593248
0.887,-0.000754265
0.888,-0.000593248
0.889,-0.000593248
0.89,-0.000432231
0.891,-0.000593248
0.892,-0.000754265
0.893,-0.000754265
0.894,-0.000754265
0.895,-0.000754265
0.896,-0.000915282
0.897,-0.000432231
0.898,-0.000915282
0.899,-0.000754265
0.9,-0.000754265
0.901,-0.000754265
0.902,-0.000432231
0.903,-0.000593248
0.904,-0.000271214
0.905,-0.000593248
0.906,-0.000593248
0.907,-0.000593248
0.908,-0.000432231
0.909,-0.000593248
0.91,-0.000593248
0.911,-0.000754265
0.912,-0.000754265
0.913,-0.000915282
0.914,-0.000593248
0.915,-0.000593248
0.916,-0.000915282
0.917,-0.000593248
0.918,-0.000915282
0.919,-0.000915282
0.92,-0.000593248
0.921,-0.000754265
0.922,-0.000432231
0.923,-0.000432231
0.924,-0.000432231
0.925,-0.000432231
0.926,-0.000432231
0.927,-0.000593248
0.928,-0.000593248
0.929,-0.000754265
0.93,-0.000271214
0.931,-0.000754265
0.932,-0.000432231
0.933,-0.000593248
0.934,-0.000593248
0.935,-0.000432231
0.936,-0.000754265
0.937,-0.000915282
0.938,-0.000432231
0.939,-0.000754265
0.94,-0.000754265
0.941,-0.000593248
0.942,-0.000754265
0.943,-0.000754265
0.944,-0.000432231
0.945,-0.000432231
0.946,-0.000271214
0.947,-0.000754265
0.948,-0.000432231
0.949,-0.000593248
0.95,-0.000271214
0.951,-0.000754265
0.952,1.35372
0.953,1.92067
0.954,2.02952
0.955,1.93532
0.956,1.84032
0.957,1.82857
0.958,1.76851
0.959,1.764
0.96,1.76287
0.961,1.83195
0.962,1.9028
0.963,1.96157
0.964,2.01937
0.965,2.11824
0.966,2.20084
0.967,2.26155
0.968,2.34769
0.969,2.41677
0.97,2.47393
0.971,2.51853
0.972,2.56169
0.973,2.60548
0.974,2.64171
0.975,2.68454
0.976,2.71675
0.977,2.75088
0.978,2.7789
0.979,2.79822
0.98,2.81239
0.981,2.8235
0.982,2.84073
0.983,2.85571
0.984,2.87358
0.985,2.88324
0.986,2.89371
0.987,2.89967
0.988,2.90691
0.989,2.91287
0.99,2.9169
0.991,2.92269
0.992,2.92736
0.993,2.93107
0.994,2.93573
0.995,2.93863
0.996,2.94153
0.997,2.94234
0.998,2.94491
0.999,2.94765
1,2.94781
1.001,2.95007
1.002,2.94862
1.003,2.94894
1.004,2.9491
1.005,2.94556
1.006,2.94475
1.007,2.94121
1.008,2.93896
1.009,2.9359
1.01,2.93332
1.011,2.93026
1.012,2.92672
1.013,2.92124
1.014,2.91384
1.015,2.90514
1.016,2.89532
1.017,2.88324
1.018,2.87326
1.019,2.86295
1.02,2.84862
1.021,2.83155
1.022,2.81529
1.023,2.79677
1.024,2.77085
1.025,2.74251
1.026,2.71626
1.027,2.70177
1.028,2.67005
1.029,2.61176
1.03,2.56378
1.031,2.52143
1.032,2.47699
1.033,2.40823
1.034,2.29938
1.035,2.25913
1.036,2.23546
1.037,2.1316
1.038,1.99619
1.039,1.88283
1.04,1.79073
1.041,1.68928
1.042,1.51394
1.043,1.33376
1.044,1.21621
1.045,1.15277
1.046,1.06212
1.047,0.890314
1.048,0.759407
1.049,0.650398
1.05,0.393898
1.051,0.471669
1.052,0.386008
1.053,0.0766948
1.054,0.0504491
1.055,-0.000432231
1.056,-0.000754265
1.057,-0.0010763
1.058,-0.000754265
1.059,-0.000754265
1.06,-0.000915282
1.061,-0.000593248
1.062,-0.000754265
1.063,-0.000754265
1.064,-0.000432231
1.065,-0.000915282
1.066,-0.000754265
1.067,-0.000593248
1.068,-0.000754265
1.069,-0.000754265
1.07,-0.000593248
1.071,-0.000593248
1.072,-0.000754265
1.073,-0.000754265
1.074,-0.000915282
1.075,-0.000754265
1.076,-0.000754265
1.077,-0.000915282
1.078,-0.000593248
1.079,-0.000915282
1.08,-0.000593248
1.081,-0.000593248
1.082,-0.000593248
1.083,-0.000593248
1.084,-0.000432231
1.085,-0.000754265
1.086,-0.000593248
1.087,-0.000754265
1.088,-0.000593248
1.089,-0.000432231
1.09,-0.000915282
1.091,-0.000593248
1.092,-0.000754265
1.093,-0.0010763
1.094,-0.000432231
1.095,-0.000754265
1.096,-0.000915282
1.097,-0.000754265
