Time - Dev2/ai0,Voltage - Dev2/ai0
0.331,3.29111
0.332,3.29095
0.333,3.2903
0.334,3.28998
0.335,3.2903
0.336,3.28998
0.337,3.28934
0.338,3.28934
0.339,3.2895
0.34,3.28918
0.341,3.2903
0.342,3.28934
0.343,3.28918
0.344,3.28805
0.345,3.28805
0.346,3.2874
0.347,3.28692
0.348,3.2866
0.349,3.28563
0.35,3.28467
0.351,3.28386
0.352,3.2829
0.353,3.28161
0.354,3.28129
0.355,3.28
0.356,3.27903
0.357,3.27694
0.358,3.27565
0.359,3.27372
0.36,3.27307
0.361,3.2734
0.362,3.27275
0.363,3.27227
0.364,3.27195
0.365,3.27227
0.366,3.27146
0.367,3.27066
0.368,3.27017
0.369,3.26969
0.37,3.26953
0.371,3.26889
0.372,3.2684
0.373,3.26792
0.374,3.26631
0.375,3.26583
0.376,3.26534
0.377,3.26454
0.378,3.26389
0.379,3.26325
0.38,3.26228
0.381,3.26116
0.382,3.26035
0.383,3.25987
0.384,3.25842
0.385,3.25778
0.386,3.25681
0.387,3.25649
0.388,3.256
0.389,3.2552
0.39,3.25439
0.391,3.25343
0.392,3.25327
0.393,3.25246
0.394,3.25214
0.395,3.25134
0.396,3.25085
0.397,3.25005
0.398,3.2494
0.399,3.24876
0.4,3.24779
0.401,3.24699
0.402,3.2465
0.403,3.24602
0.404,3.24473
0.405,3.24425
0.406,3.24312
0.407,3.24232
0.408,3.24119
0.409,3.23974
0.41,3.23765
0.411,3.23668
0.412,3.23523
0.413,3.23459
0.414,3.23282
0.415,3.2296
0.416,3.22928
0.417,3.22879
0.418,3.22799
0.419,3.22734
0.42,3.2275
0.421,3.22686
0.422,3.22654
0.423,3.22589
0.424,3.22493
0.425,3.22348
0.426,3.22316
0.427,3.22251
0.428,3.22171
0.429,3.22106
0.43,3.22026
0.431,3.21994
0.432,3.21945
0.433,3.21897
0.434,3.21768
0.435,3.2172
0.436,3.21655
0.437,3.21511
0.438,3.21527
0.439,3.21398
0.44,3.21333
0.441,3.21124
0.442,3.21092
0.443,3.20899
0.444,3.20722
0.445,3.20754
0.446,3.20689
0.447,3.20561
0.448,3.2048
0.449,3.20464
0.45,3.20367
0.451,3.20287
0.452,3.20206
0.453,3.20174
0.454,3.2011
0.455,3.20061
0.456,3.20013
0.457,3.19949
0.458,3.199
0.459,3.199
0.46,3.19868
0.461,3.19788
0.462,3.19755
0.463,3.19772
0.464,3.1982
0.465,3.19707
0.466,3.19691
0.467,3.19675
0.468,3.19643
0.469,3.19594
0.47,3.19562
0.471,3.1953
0.472,3.19498
0.473,3.19466
0.474,3.19466
0.475,3.19433
0.476,3.19433
0.477,3.19353
0.478,3.19385
0.479,3.19321
0.48,3.19272
0.481,3.19305
0.482,3.19256
0.483,3.19224
0.484,3.1924
0.485,3.19192
0.486,3.1916
0.487,3.1916
0.488,3.19095
0.489,3.19111
0.49,3.19079
0.491,3.19047
0.492,3.19031
0.493,3.1895
0.494,3.18918
0.495,3.1895
0.496,3.18918
0.497,3.1895
0.498,3.18902
0.499,3.1887
0.5,3.18805
0.501,3.18741
0.502,3.18741
0.503,3.18725
0.504,3.18741
0.505,3.18677
0.506,3.18644
0.507,3.18644
0.508,3.18612
0.509,3.18596
0.51,3.1858
0.511,3.18499
0.512,3.18499
0.513,3.18467
0.514,3.18419
0.515,3.18419
0.516,3.18387
0.517,3.18403
0.518,3.18306
0.519,3.18242
0.52,3.18161
0.521,3.18081
0.522,3.18049
0.523,3.18016
0.524,3.17936
0.525,3.17888
0.526,3.17839
0.527,3.17839
0.528,3.17743
0.529,3.17743
0.53,3.17727
0.531,3.17678
0.532,3.17678
0.533,3.17614
0.534,3.17566
0.535,3.17566
0.536,3.17566
0.537,3.17566
0.538,3.17517
0.539,3.17485
0.54,3.17469
0.541,3.17437
0.542,3.17453
0.543,3.17437
0.544,3.17372
0.545,3.17405
0.546,3.1734
0.547,3.17324
0.548,3.17324
0.549,3.17276
0.55,3.17227
0.551,3.17211
0.552,3.17179
0.553,3.17195
0.554,3.17099
0.555,3.17082
0.556,3.17115
0.557,3.17131
0.558,3.17082
0.559,3.17066
0.56,3.16905
0.561,3.16873
0.562,3.16809
0.563,3.16777
0.564,3.16712
0.565,3.16648
0.566,3.16567
0.567,3.16503
0.568,3.16438
0.569,3.16358
0.57,3.16277
0.571,3.1631
0.572,3.16245
0.573,3.16181
0.574,3.16149
0.575,3.16132
0.576,3.161
0.577,3.15988
0.578,3.15988
0.579,3.15923
0.58,3.15827
0.581,3.1581
0.582,3.15714
0.583,3.15682
0.584,3.15682
0.585,3.15488
0.586,3.15295
0.587,3.15215
0.588,3.15182
0.589,3.1507
0.59,3.15102
0.591,3.15005
0.592,3.14973
0.593,3.14893
0.594,3.14877
0.595,3.14828
0.596,3.14764
0.597,3.14715
0.598,3.14715
0.599,3.14715
0.6,3.14699
0.601,3.14715
0.602,3.14715
0.603,3.14699
0.604,3.1478
0.605,3.14715
0.606,3.14667
0.607,3.14715
0.608,3.14732
0.609,3.14667
0.61,3.14715
0.611,3.14715
0.612,3.14699
0.613,3.14651
0.614,3.14635
0.615,3.14651
0.616,3.14683
0.617,3.14651
0.618,3.14667
0.619,3.14667
0.62,3.14635
0.621,3.14635
0.622,3.14587
0.623,3.14587
0.624,3.14522
0.625,3.1449
0.626,3.14458
0.627,3.1441
0.628,3.14393
0.629,3.14393
0.63,3.14281
0.631,3.14249
0.632,3.142
0.633,3.14168
0.634,3.14087
0.635,3.14039
0.636,3.13943
0.637,3.1391
0.638,3.13846
0.639,3.13798
0.64,3.13717
0.641,3.13653
0.642,3.13604
0.643,3.13604
0.644,3.1354
0.645,3.13363
0.646,3.13218
0.647,3.13089
0.648,3.13025
0.649,3.13009
0.65,3.13025
0.651,3.12848
0.652,3.12799
0.653,3.12767
0.654,3.12687
0.655,3.12671
0.656,3.12638
0.657,3.1259
0.658,3.12622
0.659,3.12542
0.66,3.12493
0.661,3.12413
0.662,3.12348
0.663,3.123
0.664,3.12236
0.665,3.12236
0.666,3.12123
0.667,3.12026
0.668,3.11898
0.669,3.11849
0.67,3.11769
0.671,3.11656
0.672,3.11608
0.673,3.11431
0.674,3.11366
0.675,3.11189
0.676,3.11125
0.677,3.11028
0.678,3.10948
0.679,3.10883
0.68,3.10835
0.681,3.10803
0.682,3.10787
0.683,3.10722
0.684,3.10722
0.685,3.10642
0.686,3.10577
0.687,3.10545
0.688,3.10481
0.689,3.10465
0.69,3.104
0.691,3.104
0.692,3.10336
0.693,3.1032
0.694,3.10255
0.695,3.10223
0.696,3.1011
0.697,3.10062
0.698,3.10094
0.699,3.10062
0.7,3.09981
0.701,3.09965
0.702,3.0982
0.703,3.09853
0.704,3.09837
0.705,3.0982
0.706,3.09901
0.707,3.09869
0.708,3.09869
0.709,3.09885
0.71,3.09885
0.711,3.09869
0.712,3.09885
0.713,3.09869
0.714,3.09917
0.715,3.09901
0.716,3.09885
0.717,3.09869
0.718,3.09885
0.719,3.09885
0.72,3.09853
0.721,3.09869
0.722,3.09853
0.723,3.09837
0.724,3.09885
0.725,3.09917
0.726,3.09885
0.727,3.09901
0.728,3.09901
0.729,3.09981
0.73,3.09981
0.731,3.09981
0.732,3.09981
0.733,3.1003
0.734,3.09965
0.735,3.09981
0.736,3.09981
0.737,3.10014
0.738,3.10014
0.739,3.10046
0.74,3.1011
0.741,3.10159
0.742,3.10142
0.743,3.10159
0.744,3.10175
0.745,3.10223
0.746,3.10223
0.747,3.10287
0.748,3.10287
0.749,3.10336
0.75,3.10336
0.751,3.10304
0.752,3.10368
0.753,3.104
0.754,3.10416
0.755,3.10448
0.756,3.10529
0.757,3.10545
0.758,3.10658
0.759,3.1077
0.76,3.10787
0.761,3.10787
0.762,3.10867
0.763,3.10867
0.764,3.10931
0.765,3.10948
0.766,3.1106
0.767,3.1106
0.768,3.11125
0.769,3.11109
0.77,3.11221
0.771,3.1127
0.772,3.11398
0.773,3.11608
0.774,3.11865
0.775,3.12204
0.776,3.12429
0.777,3.12493
0.778,3.12542
0.779,3.12574
0.78,3.12574
0.781,3.12622
0.782,3.12622
0.783,3.12767
0.784,3.12896
0.785,3.12799
0.786,3.12864
0.787,3.12896
0.788,3.12848
0.789,3.12928
0.79,3.12944
0.791,3.13105
0.792,3.13105
0.793,3.13121
0.794,3.1317
0.795,3.13202
0.796,3.13186
0.797,3.13186
0.798,3.13202
0.799,3.13282
0.8,3.13331
0.801,3.13315
0.802,3.13379
0.803,3.13331
0.804,3.13379
0.805,3.13476
0.806,3.1354
0.807,3.13588
0.808,3.13572
0.809,3.13653
0.81,3.13717
0.811,3.13782
0.812,3.13814
0.813,3.1383
0.814,3.13862
0.815,3.1391
0.816,3.13975
0.817,3.14023
0.818,3.14087
0.819,3.14152
0.82,3.14216
0.821,3.14265
0.822,3.14297
0.823,3.14329
0.824,3.1441
0.825,3.14522
0.826,3.14603
0.827,3.14699
0.828,3.14764
0.829,3.14828
0.83,3.14941
0.831,3.14973
0.832,3.14989
0.833,3.15054
0.834,3.15086
0.835,3.15166
0.836,3.15215
0.837,3.15343
0.838,3.15456
0.839,3.15521
0.84,3.15537
0.841,3.15537
0.842,3.15585
0.843,3.15633
0.844,3.15666
0.845,3.15746
0.846,3.1581
0.847,3.15859
0.848,3.15875
0.849,3.15955
0.85,3.16036
0.851,3.16036
0.852,3.16052
0.853,3.161
0.854,3.16116
0.855,3.16245
0.856,3.16261
0.857,3.16277
0.858,3.16358
0.859,3.16358
0.86,3.16422
0.861,3.16471
0.862,3.16487
0.863,3.16583
0.864,3.16616
0.865,3.16583
0.866,3.16648
0.867,3.16712
0.868,3.16793
0.869,3.16841
0.87,3.16841
0.871,3.16889
0.872,3.16921
0.873,3.1697
0.874,3.17002
0.875,3.17034
0.876,3.17082
