Time - Dev2/ai0,Voltage - Dev2/ai0
0,-0.000593248
0.001,-0.000754265
0.002,-0.000593248
0.003,-0.000432231
0.004,-0.000432231
0.005,-0.000432231
0.006,-0.000593248
0.007,-0.000593248
0.008,-0.000754265
0.009,-0.000754265
0.01,-0.000593248
0.011,-0.000915282
0.012,-0.000754265
0.013,-0.000754265
0.014,-0.000754265
0.015,-0.000754265
0.016,-0.000915282
0.017,-0.000432231
0.018,-0.000593248
0.019,-0.000593248
0.02,-0.000432231
0.021,-0.000593248
0.022,-0.000432231
0.023,-0.000754265
0.024,-0.000754265
0.025,-0.000271214
0.026,-0.000432231
0.027,-0.000754265
0.028,-0.000432231
0.029,-0.000593248
0.03,-0.000754265
0.031,-0.000593248
0.032,-0.000593248
0.033,-0.000915282
0.034,-0.000593248
0.035,-0.000754265
0.036,-0.000754265
0.037,-0.000915282
0.038,-0.000432231
0.039,-0.000593248
0.04,-0.000593248
0.041,-0.000432231
0.042,-0.000271214
0.043,-0.00139833
0.044,-0.000754265
0.045,-0.000754265
0.046,-0.000754265
0.047,-0.000915282
0.048,-0.000915282
0.049,-0.000754265
0.05,-0.000915282
0.051,-0.000754265
0.052,-0.000754265
0.053,-0.000593248
0.054,-0.000754265
0.055,-0.000915282
0.056,-0.000754265
0.057,-0.000754265
0.058,-0.000593248
0.059,-0.000593248
0.06,-0.000593248
0.061,-0.000432231
0.062,-0.000754265
0.063,-0.000432231
0.064,-0.000593248
0.065,-0.000754265
0.066,-0.000754265
0.067,-0.000593248
0.068,-0.000754265
0.069,-0.000593248
0.07,-0.0010763
0.071,-0.000754265
0.072,-0.000754265
0.073,-0.000915282
0.074,-0.000593248
0.075,-0.000593248
0.076,-0.000754265
0.077,-0.000754265
0.078,-0.000754265
0.079,-0.000593248
0.08,-0.000754265
0.081,-0.000754265
0.082,-0.000915282
0.083,-0.000432231
0.084,-0.000432231
0.085,-0.000432231
0.086,-0.000754265
0.087,-0.000754265
0.088,-0.000593248
0.089,-0.000593248
0.09,-0.000593248
0.091,-0.000593248
0.092,-0.000754265
0.093,-0.000915282
0.094,-0.000915282
0.095,-0.000593248
0.096,-0.000754265
0.097,-0.000593248
0.098,-0.000593248
0.099,0.353966
0.1,2.34592
0.101,3.08259
0.102,3.34746
0.103,3.37548
0.104,3.3626
0.105,3.35503
0.106,3.35503
0.107,3.34682
0.108,3.33346
0.109,3.32009
0.11,3.3027
0.111,3.28869
0.112,3.28209
0.113,3.28273
0.114,3.28821
0.115,3.30206
0.116,3.31413
0.117,3.32846
0.118,3.34022
0.119,3.35133
0.12,3.36099
0.121,3.36985
0.122,3.38386
0.123,3.39255
0.124,3.39996
0.125,3.40801
0.126,3.41348
0.127,3.41799
0.128,3.42298
0.129,3.4262
0.13,3.43007
0.131,3.43297
0.132,3.43699
0.133,3.44118
0.134,3.4444
0.135,3.44698
0.136,3.45004
0.137,3.45309
0.138,3.45648
0.139,3.45841
0.14,3.46002
0.141,3.46098
0.142,3.4626
0.143,3.46372
0.144,3.46469
0.145,3.46582
0.146,3.46646
0.147,3.46662
0.148,3.46791
0.149,3.46855
0.15,3.46887
0.151,3.47016
0.152,3.47032
0.153,3.47161
0.154,3.4729
0.155,3.47371
0.156,3.47499
0.157,3.47612
0.158,3.47676
0.159,3.47725
0.16,3.47773
0.161,3.4787
0.162,3.47821
0.163,3.47902
0.164,3.47934
0.165,3.4795
0.166,3.4795
0.167,3.47934
0.168,3.47934
0.169,3.47902
0.17,3.47789
0.171,3.47789
0.172,3.47725
0.173,3.47693
0.174,3.47612
0.175,3.47515
0.176,3.47435
0.177,3.47338
0.178,3.47129
0.179,3.47049
0.18,3.46936
0.181,3.46823
0.182,3.46646
0.183,3.46517
0.184,3.4634
0.185,3.46115
0.186,3.45809
0.187,3.45567
0.188,3.45309
0.189,3.45084
0.19,3.44778
0.191,3.44392
0.192,3.44005
0.193,3.43409
0.194,3.42926
0.195,3.42427
0.196,3.41783
0.197,3.41187
0.198,3.40575
0.199,3.39931
0.2,3.39175
0.201,3.38369
0.202,3.37661
0.203,3.36904
0.204,3.36035
0.205,3.35101
0.206,3.34167
0.207,3.32766
0.208,3.31413
0.209,3.3019
0.21,3.28499
0.211,3.27291
0.212,3.25745
0.213,3.23539
0.214,3.21591
0.215,3.199
0.216,3.18499
0.217,3.16793
0.218,3.1412
0.219,3.11849
0.22,3.0813
0.221,3.04732
0.222,3.01302
0.223,2.9805
0.224,2.93412
0.225,2.88952
0.226,2.83767
0.227,2.76892
0.228,2.70886
0.229,2.65041
0.23,2.55653
0.231,2.5005
0.232,2.44012
0.233,2.38939
0.234,2.31887
0.235,2.17089
0.236,2.01358
0.237,1.87671
0.238,1.6661
0.239,1.56433
0.24,1.38947
0.241,1.17596
0.242,0.728492
0.243,0.482619
0.244,0.522068
0.245,0.538492
0.246,0.368941
0.247,0.367652
0.248,0.247212
0.249,0.0642965
0.25,0.0394999
0.251,0.0224322
0.252,0.000211836
0.253,5.08E-05
0.254,-0.000915282
0.255,-0.000754265
0.256,-0.000593248
0.257,-0.000754265
0.258,-0.000754265
0.259,-0.000593248
0.26,-0.000432231
0.261,-0.000593248
0.262,-0.000754265
0.263,-0.000432231
0.264,-0.000754265
0.265,-0.000754265
0.266,-0.000915282
0.267,-0.000754265
0.268,-0.000754265
0.269,-0.000432231
0.27,-0.000754265
0.271,-0.000915282
0.272,-0.000754265
0.273,-0.000593248
0.274,-0.000432231
0.275,-0.000754265
0.276,-0.000593248
0.277,-0.000754265
0.278,-0.000593248
0.279,-0.000754265
0.28,-0.000754265
0.281,-0.000593248
0.282,-0.000593248
0.283,-0.000754265
0.284,-0.000754265
0.285,-0.000593248
0.286,-0.000432231
0.287,-0.000754265
0.288,-0.000593248
0.289,-0.000754265
0.29,-0.000754265
0.291,-0.000593248
0.292,-0.000754265
0.293,-0.000915282
0.294,-0.000754265
0.295,-0.000754265
0.296,-0.000754265
0.297,-0.000593248
0.298,-0.000754265
0.299,-0.000593248
0.3,-0.000593248
0.301,-0.000432231
0.302,-0.000593248
0.303,-0.000432231
0.304,-0.000754265
0.305,-0.000754265
0.306,-0.000754265
0.307,-0.000593248
0.308,-0.000593248
0.309,-0.000915282
0.31,-0.000754265
0.311,-0.000754265
0.312,-0.000754265
0.313,-0.000915282
0.314,-0.000754265
0.315,-0.000593248
0.316,-0.000915282
0.317,-0.000593248
0.318,-0.000593248
0.319,-0.000915282
0.32,-0.000754265
0.321,-0.000593248
