Time - Dev2/ai0,Voltage - Dev2/ai0
0,-0.000432231
0.001,-0.000432231
0.002,-0.000754265
0.003,-0.000593248
0.004,-0.000593248
0.005,-0.000915282
0.006,-0.0010763
0.007,-0.000915282
0.008,-0.000754265
0.009,-0.000915282
0.01,-0.000754265
0.011,-0.000754265
0.012,-0.000432231
0.013,-0.000593248
0.014,-0.000593248
0.015,-0.000593248
0.016,-0.000432231
0.017,-0.000432231
0.018,-0.000593248
0.019,-0.000432231
0.02,-0.000754265
0.021,-0.000593248
0.022,-0.000593248
0.023,-0.000915282
0.024,-0.000754265
0.025,-0.000754265
0.026,-0.000754265
0.027,-0.0010763
0.028,-0.000915282
0.029,-0.0010763
0.03,-0.000754265
0.031,-0.000915282
0.032,-0.000593248
0.033,-0.000593248
0.034,-0.000593248
0.035,-0.000593248
0.036,-0.000432231
0.037,-0.000593248
0.038,-0.000432231
0.039,-0.000271214
0.04,-0.000915282
0.041,-0.000593248
0.042,-0.000593248
0.043,-0.000432231
0.044,-0.000754265
0.045,-0.000593248
0.046,-0.000754265
0.047,-0.000754265
0.048,-0.000915282
0.049,-0.000754265
0.05,-0.000593248
0.051,-0.000593248
0.052,-0.000271214
0.053,-0.000593248
0.054,-0.000593248
0.055,-0.000593248
0.056,-0.000593248
0.057,-0.000432231
0.058,-0.000593248
0.059,-0.000754265
0.06,-0.000593248
0.061,-0.000754265
0.062,-0.000593248
0.063,-0.000754265
0.064,-0.000593248
0.065,-0.000754265
0.066,-0.000754265
0.067,-0.000754265
0.068,-0.0010763
0.069,-0.000754265
0.07,-0.000754265
0.071,-0.000754265
0.072,-0.000593248
0.073,-0.000593248
0.074,-0.000271214
0.075,-0.000432231
0.076,-0.000593248
0.077,-0.000432231
0.078,-0.000915282
0.079,-0.000432231
0.08,-0.000754265
0.081,-0.000432231
0.082,-0.000754265
0.083,-0.000754265
0.084,-0.000754265
0.085,-0.000593248
0.086,-0.000915282
0.087,-0.000593248
0.088,-0.000754265
0.089,-0.000754265
0.09,-0.000754265
0.091,-0.000754265
0.092,-0.000432231
0.093,-0.000432231
0.094,-0.000754265
0.095,-0.000432231
0.096,-0.000593248
0.097,-0.000593248
0.098,0.0214661
0.099,1.23006
0.1,1.98669
0.101,2.28393
0.102,2.35011
0.103,2.27459
0.104,2.18619
0.105,2.06623
0.106,1.99377
0.107,1.96769
0.108,1.9833
0.109,2.01325
0.11,2.05657
0.111,2.10987
0.112,2.1878
0.113,2.23498
0.114,2.2675
0.115,2.29681
0.116,2.33433
0.117,2.35977
0.118,2.3939
0.119,2.42289
0.12,2.44156
0.121,2.45638
0.122,2.47119
0.123,2.48069
0.124,2.49261
0.125,2.50179
0.126,2.51209
0.127,2.52014
0.128,2.53319
0.129,2.54478
0.13,2.56056
0.131,2.57328
0.132,2.58777
0.133,2.60114
0.134,2.6145
0.135,2.62303
0.136,2.63978
0.137,2.65137
0.138,2.66152
0.139,2.67118
0.14,2.67569
0.141,2.68454
0.142,2.69131
0.143,2.70065
0.144,2.70725
0.145,2.71272
0.146,2.72126
0.147,2.7256
0.148,2.73108
0.149,2.73704
0.15,2.74251
0.151,2.74654
0.152,2.75185
0.153,2.75491
0.154,2.7541
0.155,2.75781
0.156,2.75942
0.157,2.76038
0.158,2.76119
0.159,2.75926
0.16,2.76103
0.161,2.75958
0.162,2.75749
0.163,2.75507
0.164,2.75153
0.165,2.74943
0.166,2.7446
0.167,2.74042
0.168,2.73655
0.169,2.73462
0.17,2.72625
0.171,2.71498
0.172,2.69791
0.173,2.68084
0.174,2.65975
0.175,2.63092
0.176,2.59019
0.177,2.56265
0.178,2.53544
0.179,2.49422
0.18,2.43947
0.181,2.37716
0.182,2.31211
0.183,2.2163
0.184,2.14996
0.185,2.05013
0.186,1.93323
0.187,1.70168
0.188,1.58752
0.189,1.43987
0.19,1.22153
0.191,0.964382
0.192,0.573432
0.193,0.220483
0.194,0.0324152
0.195,-0.000593248
0.196,-0.000593248
0.197,-0.000432231
0.198,-0.000271214
0.199,-0.000593248
0.2,-0.000593248
0.201,-0.000754265
0.202,-0.000593248
