Time - Dev2/ai0,Voltage - Dev2/ai0
0,-0.000593248
0.001,-0.000754265
0.002,-0.000915282
0.003,-0.000593248
0.004,-0.000593248
0.005,-0.000754265
0.006,-0.000432231
0.007,-0.000915282
0.008,-0.000915282
0.009,-0.000754265
0.01,-0.000915282
0.011,-0.000593248
0.012,-0.000593248
0.013,-0.000593248
0.014,-0.000593248
0.015,-0.000593248
0.016,-0.000432231
0.017,-0.000754265
0.018,-0.000593248
0.019,-0.000754265
0.02,-0.000432231
0.021,-0.000754265
0.022,-0.000754265
0.023,-0.000754265
0.024,-0.000754265
0.025,-0.000754265
0.026,-0.000915282
0.027,-0.000754265
0.028,-0.000754265
0.029,-0.000915282
0.03,-0.000432231
0.031,-0.000432231
0.032,-0.000593248
0.033,-0.000754265
0.034,-0.000593248
0.035,-0.000593248
0.036,-0.000915282
0.037,-0.000593248
0.038,-0.000754265
0.039,-0.000754265
0.04,-0.000593248
0.041,-0.000754265
0.042,-0.000593248
0.043,-0.000754265
0.044,-0.000915282
0.045,-0.000754265
0.046,-0.000754265
0.047,-0.000754265
0.048,-0.000754265
0.049,-0.000593248
0.05,-0.000432231
0.051,-0.000754265
0.052,-0.000432231
0.053,-0.000593248
0.054,-0.000593248
0.055,-0.000432231
0.056,-0.000754265
0.057,-0.000432231
0.058,-0.000593248
0.059,-0.000754265
0.06,-0.000754265
0.061,-0.000432231
0.062,-0.000915282
0.063,-0.000432231
0.064,-0.000754265
0.065,-0.000754265
0.066,-0.0010763
0.067,-0.0010763
0.068,-0.000915282
0.069,-0.000754265
0.07,-0.000754265
0.071,-0.000754265
0.072,-0.000432231
0.073,-0.000754265
0.074,-0.000593248
0.075,-0.000593248
0.076,-0.000593248
0.077,-0.000593248
0.078,-0.000593248
0.079,-0.000754265
0.08,-0.000754265
0.081,-0.000593248
0.082,-0.000754265
0.083,-0.000593248
0.084,-0.000754265
0.085,-0.000754265
0.086,-0.000754265
0.087,-0.000915282
0.088,-0.000754265
0.089,-0.000754265
0.09,-0.000915282
0.091,-0.000432231
0.092,-0.000754265
0.093,-0.000432231
0.094,-0.000271214
0.095,-0.000432231
0.096,-0.000754265
0.097,-0.000593248
0.098,-0.000593248
0.099,0.398568
0.1,1.82084
0.101,2.48858
0.102,2.61579
0.103,2.53302
0.104,2.29005
0.105,2.01374
0.106,1.69251
0.107,1.53374
0.108,1.52328
0.109,1.57561
0.11,1.707
0.111,1.84
0.112,1.96189
0.113,2.06333
0.114,2.17137
0.115,2.22612
0.116,2.26171
0.117,2.28425
0.118,2.30341
0.119,2.3179
0.12,2.33191
0.121,2.35204
0.122,2.40002
0.123,2.44913
0.124,2.47345
0.125,2.48794
0.126,2.49969
0.127,2.51418
0.128,2.52642
0.129,2.53914
0.13,2.55186
0.131,2.55943
0.132,2.57102
0.133,2.58101
0.134,2.58922
0.135,2.59759
0.136,2.60709
0.137,2.61579
0.138,2.62384
0.139,2.62915
0.14,2.63431
0.141,2.63753
0.142,2.64026
0.143,2.64252
0.144,2.64381
0.145,2.64606
0.146,2.64783
0.147,2.64896
0.148,2.64896
0.149,2.6496
0.15,2.64944
0.151,2.64848
0.152,2.64686
0.153,2.64381
0.154,2.64171
0.155,2.63817
0.156,2.63237
0.157,2.62368
0.158,2.61015
0.159,2.60146
0.16,2.59196
0.161,2.58036
0.162,2.56684
0.163,2.54574
0.164,2.52401
0.165,2.48987
0.166,2.45831
0.167,2.41323
0.168,2.31452
0.169,2.25446
0.17,2.18506
0.171,2.11099
0.172,2.00295
0.173,1.91374
0.174,1.83597
0.175,1.74918
0.176,1.63647
0.177,1.4798
0.178,1.33682
0.179,1.16501
0.18,1.06325
0.181,0.890475
0.182,0.748458
0.183,0.391966
0.184,0.324661
0.185,0.293907
0.186,0.257517
0.187,0.251237
0.188,0.0386949
0.189,-0.000754265
0.19,-0.000915282
0.191,-0.000432231
0.192,-0.000593248
0.193,-0.000593248
0.194,-0.000432231
0.195,-0.000432231
0.196,-0.000593248
0.197,-0.000432231
0.198,-0.000271214
0.199,-0.000593248
0.2,-0.000915282
0.201,-0.000593248
0.202,-0.000915282
0.203,-0.000593248
0.204,-0.000754265
0.205,-0.000754265
0.206,-0.000593248
0.207,-0.000915282
0.208,-0.000593248
0.209,-0.000593248
0.21,-0.000754265
0.211,-0.000432231
0.212,-0.000593248
0.213,-0.000593248
0.214,-0.000593248
0.215,-0.000754265
0.216,-0.000754265
0.217,-0.000432231
0.218,-0.000593248
0.219,-0.000593248
0.22,-0.000915282
0.221,-0.000915282
0.222,-0.000593248
0.223,-0.000754265
0.224,-0.000593248
0.225,-0.000754265
0.226,-0.000754265
0.227,-0.000915282
0.228,-0.000754265
0.229,-0.000754265
0.23,-0.000593248
0.231,-0.000432231
0.232,-0.000754265
0.233,-0.000593248
0.234,-0.000593248
0.235,-0.000754265
0.236,-0.000432231
0.237,-0.000271214
0.238,-0.000593248
0.239,-0.000915282
0.24,-0.000915282
0.241,-0.000754265
0.242,-0.000593248
0.243,-0.000754265
0.244,-0.000754265
0.245,-0.000915282
0.246,-0.000915282
0.247,-0.000754265
0.248,-0.000915282
0.249,-0.000432231
0.25,-0.000754265
0.251,-0.000754265
0.252,-0.000593248
0.253,-0.000432231
0.254,-0.000432231
0.255,-0.000593248
0.256,-0.000271214
0.257,-0.000754265
0.258,-0.000432231
0.259,-0.000432231
0.26,-0.000593248
0.261,-0.000593248
0.262,-0.000593248
0.263,-0.000432231
0.264,-0.000593248
0.265,-0.000593248
0.266,-0.00123732
0.267,-0.000915282
0.268,-0.000754265
0.269,-0.000915282
0.27,-0.000915282
0.271,-0.000593248
0.272,-0.000593248
0.273,-0.000432231
0.274,-0.000271214
0.275,-0.000432231
0.276,-0.000754265
0.277,-0.000432231
0.278,-0.000593248
0.279,-0.000432231
0.28,-0.000432231
0.281,-0.000754265
0.282,-0.000754265
0.283,-0.000593248
0.284,-0.000593248
0.285,-0.0010763
0.286,-0.000754265
0.287,-0.000915282
0.288,-0.000593248
0.289,-0.000754265
0.29,-0.000754265
0.291,-0.000432231
0.292,-0.000915282
0.293,-0.000432231
0.294,-0.000593248
0.295,-0.000271214
0.296,-0.000593248
0.297,-0.000593248
0.298,-0.000271214
0.299,-0.000754265
0.3,-0.000593248
0.301,-0.000432231
0.302,-0.000593248
0.303,-0.000432231
0.304,-0.000593248
0.305,-0.0010763
0.306,-0.000915282
0.307,-0.0010763
0.308,-0.000754265
0.309,-0.000754265
