Time - Dev2/ai0,Voltage - Dev2/ai0
0,-0.000915282
0.001,-0.000915282
0.002,-0.000593248
0.003,-0.000915282
0.004,-0.0010763
0.005,-0.00139833
0.006,-0.0010763
0.007,-0.000593248
0.008,-0.000754265
0.009,-0.000593248
0.01,-0.000754265
0.011,-0.000593248
0.012,-0.000271214
0.013,-0.000432231
0.014,-0.000593248
0.015,-0.000593248
0.016,-0.000593248
0.017,-0.000754265
0.018,-0.000915282
0.019,-0.000754265
0.02,-0.0010763
0.021,-0.000754265
0.022,-0.000915282
0.023,-0.000915282
0.024,-0.0010763
0.025,-0.0010763
0.026,-0.0010763
0.027,-0.0010763
0.028,-0.000754265
0.029,-0.000593248
0.03,-0.000593248
0.031,-0.000754265
0.032,-0.000432231
0.033,-0.000754265
0.034,-0.000754265
0.035,-0.000432231
0.036,-0.000432231
0.037,-0.0010763
0.038,-0.000754265
0.039,-0.000754265
0.04,-0.00123732
0.041,-0.000915282
0.042,-0.000915282
0.043,-0.0010763
0.044,-0.00123732
0.045,-0.000754265
0.046,-0.000915282
0.047,-0.000915282
0.048,-0.000754265
0.049,-0.000754265
0.05,-0.000754265
0.051,-0.000271214
0.052,-0.000754265
0.053,-0.000432231
0.054,-0.000432231
0.055,-0.000432231
0.056,-0.000754265
0.057,-0.000593248
0.058,-0.000754265
0.059,-0.000754265
0.06,-0.000915282
0.061,-0.0010763
0.062,-0.000593248
0.063,-0.00123732
0.064,-0.000915282
0.065,-0.0010763
0.066,-0.000915282
0.067,-0.000754265
0.068,-0.0010763
0.069,-0.000432231
0.07,-0.000593248
0.071,-0.000754265
0.072,-0.000432231
0.073,-0.000593248
0.074,-0.000593248
0.075,-0.000593248
0.076,-0.000593248
0.077,-0.000754265
0.078,-0.000754265
0.079,-0.0010763
0.08,-0.000754265
0.081,-0.000754265
0.082,-0.000915282
0.083,-0.000915282
0.084,-0.0010763
0.085,-0.000754265
0.086,-0.000915282
0.087,-0.000915282
0.088,-0.000432231
0.089,-0.000593248
0.09,-0.000432231
0.091,-0.000593248
0.092,-0.000432231
0.093,-0.000271214
0.094,-0.000754265
0.095,-0.000432231
0.096,-0.000754265
0.097,-0.000915282
0.098,0.740246
0.099,1.59928
0.1,1.84724
0.101,1.95174
0.102,1.9094
0.103,1.7574
0.104,1.68317
0.105,1.61989
0.106,1.55403
0.107,1.56272
0.108,1.63212
0.109,1.69717
0.11,1.75627
0.111,1.85159
0.112,1.95191
0.113,2.03097
0.114,2.09859
0.115,2.13273
0.116,2.16654
0.117,2.19166
0.118,2.22032
0.119,2.25301
0.12,2.27974
0.121,2.30228
0.122,2.31581
0.123,2.3332
0.124,2.34495
0.125,2.3588
0.126,2.37506
0.127,2.3931
0.128,2.40582
0.129,2.42112
0.13,2.43416
0.131,2.44817
0.132,2.47554
0.133,2.49116
0.134,2.50291
0.135,2.51644
0.136,2.53157
0.137,2.54252
0.138,2.55122
0.139,2.56072
0.14,2.56845
0.141,2.57618
0.142,2.58278
0.143,2.58568
0.144,2.59067
0.145,2.59453
0.146,2.59502
0.147,2.59518
0.148,2.59711
0.149,2.59775
0.15,2.59647
0.151,2.59534
0.152,2.59598
0.153,2.59663
0.154,2.59598
0.155,2.5955
0.156,2.59518
0.157,2.59598
0.158,2.59534
0.159,2.59582
0.16,2.59727
0.161,2.59695
0.162,2.59711
0.163,2.5955
0.164,2.59711
0.165,2.59695
0.166,2.5963
0.167,2.59405
0.168,2.58986
0.169,2.58632
0.17,2.58101
0.171,2.57473
0.172,2.56523
0.173,2.55041
0.174,2.53673
0.175,2.51386
0.176,2.4844
0.177,2.46765
0.178,2.44962
0.179,2.42788
0.18,2.40485
0.181,2.38328
0.182,2.35445
0.183,2.3179
0.184,2.28006
0.185,2.2324
0.186,2.18281
0.187,2.11244
0.188,2.00987
0.189,1.90714
0.19,1.82374
0.191,1.74564
0.192,1.57222
0.193,1.42377
0.194,1.20559
0.195,0.949408
0.196,0.875984
0.197,0.561517
0.198,0.242542
0.199,-0.000754265
0.2,-0.000593248
0.201,-0.000754265
0.202,-0.000915282
0.203,-0.000915282
0.204,-0.000754265
0.205,-0.0010763
0.206,-0.000754265
0.207,-0.000754265
0.208,-0.000593248
0.209,-0.000593248
0.21,-0.000593248
0.211,-0.000593248
0.212,-0.000593248
0.213,-0.000593248
0.214,-0.000432231
0.215,-0.000432231
0.216,-0.000432231
0.217,-0.000754265
0.218,-0.000593248
0.219,-0.000754265
0.22,-0.000432231
0.221,-0.000593248
0.222,-0.000915282
0.223,-0.000593248
0.224,-0.000754265
0.225,-0.000754265
0.226,-0.000593248
0.227,-0.000432231
0.228,-0.000593248
0.229,-0.000432231
0.23,-0.000432231
0.231,-0.000593248
0.232,-0.000593248
0.233,-0.000432231
0.234,-0.000432231
0.235,-0.000754265
0.236,-0.000754265
0.237,-0.000593248
0.238,-0.000593248
0.239,-0.000271214
0.24,-0.000754265
0.241,-0.000593248
0.242,-0.000432231
0.243,-0.000915282
0.244,-0.000915282
0.245,-0.000915282
0.246,-0.000754265
0.247,-0.000754265
0.248,-0.000754265
0.249,-0.000432231
0.25,-0.000593248
0.251,-0.000432231
0.252,-0.000271214
0.253,-0.000593248
0.254,-0.000593248
